内部ID	类别编码	类别名称	类别说明
0002004600060003	24663	水利闸门启闭机	
0002004600060009	24669	其他水工机械	
000200460008	2468	殡仪火化设备	
0002004600080001	24681	殡仪设备及用品	
0002004600080002	24682	火化设备	
00020047	247	武器装备	
0002004700010000	24710	枪械	
0002004700010001	24711	手枪	
0002004700010002	24712	步枪	
0002004700010003	24713	冲锋枪	
0002004700010004	24714	机枪	
0002004700010005	24715	非致命性武器	
0002004700020000	24720	火炮	
0002004700030000	24730	战车	
0002004700090000	24790	其他武器装备	
0004	4	交通运输设备	
00040052	452	铁路运输设备	
000400520001	4521	机车	
0004005200010001	45211	标准轨距蒸汽机车	
0004005200010002	45212	标准轨距内燃机车	
0004005200010003	45213	标准轨距电力车	
0004005200010004	45214	标准轨距轻油车	
0004005200010005	45215	宽轨蒸汽机车	
0004005200010006	45216	宽轨内燃机车	
0004005200010007	45217	米轨内燃机车	
0004005200010008	45218	寸轨蒸汽机车	
0004005200010009	45219	其他机车	
000400520002	4522	客车	
0004005200020001	45221	标准轨客车及其配套设备	
0004005200020002	45222	米轨客车	
0004005200020009	45229	其他客车	
000400520003	4523	货车	
0004005200030001	45231	标准轨距货车	
0004005200030002	45232	米轨货车	
0004005200030009	45239	其他货车	
000400520004	4524	铁路专用设备	
0004005200040001	45241	铁路移车架车设备	
0004005200040002	45242	机车车辆及通信信号试验设备	
0004005200040003	45243	线路机械及工务检验设备	
0004005200040004	45244	闭塞设备	
0004005200040005	45245	联锁设备	
0004005200040006	45246	驼峰设备	
0004005200040007	45247	调度集中及调度监督设备	
0004005200040008	45248	清洗给水设备	
0004005200040009	45249	其他铁路专用设备	
000400520009	4529	其他铁路运输设备	
0004005200090001	45291	接触网	
0004005200090002	45292	机车车辆零部件	
00040053	453	汽车电车含地铁车辆摩托车及非机动车辆	
000400530001	4531	汽车	
0004005300010001	45311	载货汽车	
0004005300010002	45312	越野汽车	
0004005300010003	45313	自卸汽车	
0004005300010004	45314	牵引汽车	
0004005300010005	45315	载客汽车	
0004005300010006	45316	轿车	
0004005300010007	45317	专用汽车	
0004005300010008	45318	汽车挂车	
000400530002	4532	电车	
0004005300020001	45321	有轨电车	
0004005300020002	45322	无轨电车	
0004005300020003	45323	地铁车辆	
0004005300020009	45329	其他电车	
000400530003	4533	摩托车	
0004005300030001	45331	两轮摩托车	
0004005300030002	45332	三轮摩托车	
0004005300030009	45339	其他摩托车	
000400530005	4535	非机动车辆	
0004005300050001	45351	人力车	
0004005300050002	45352	畜力车	
0004005300050009	45359	其他非机动车	
00040054	454	水上交通运输设备	
000400540001	4541	货轮	
0004005400010001	45411	杂货轮及多用途货轮	
0004005400010002	45412	集装箱货轮	
0004005400010003	45413	油轮和水轮	
0004005400010004	45414	煤轮和矿砂轮	
0004005400010005	45415	化学品及天然气液化石油气轮	
0004005400010006	45416	运木船	
0004005400010007	45417	冷藏船（鲜货船）	
0004005400010009	45419	其他货船	
000400540002	4542	客轮及拖轮	
0004005400020001	45421	客轮	
0004005400020002	45422	客货轮	
0004005400020003	45423	旅游船	
0004005400020004	45424	轮渡船	
0004005400020005	45425	气垫船	
0004005400020006	45426	拖船	
0004005400020009	45429	其他客轮及拖船	
000400540003	4543	驳船	
0004005400030001	45431	仓口驳船和甲板驳船	
0004005400030002	45432	分节驳船	
0004005400030003	45433	油驳船和水驳船	
0004005400030004	45434	煤驳船	
0004005400030005	45435	油渣驳船	
0004005400030006	45436	化学品驳船	
0004005400030007	45437	盐驳船	
0004005400030008	45438	客驳船和港驳船	
0004005400030009	45439	其他驳船	
000400540004	4544	渔轮	
0004005400040001	45441	拖网渔轮	
0004005400040002	45442	围网渔船和围网辅助船	
0004005400040003	45443	围网鱼船灯光诱鱼船	
0004005400040004	45444	电捕鱼船	
0004005400040005	45445	钓船	
0004005400040006	45446	捕鲸船	
0004005400040007	45447	渔品加工船	
0004005400040008	45448	渔业救助指挥和巡逻船	
0004005400040009	45449	其他渔船	
000400540005	4545	海洋内水调查和开发船	
0004005400050001	45451	科学考察船	
0004005400050002	45452	科学研究船	
0004005400050003	45453	测量船	
0004005400050004	45454	石油地质钻探船	
0004005400050005	45455	钻井平台	
0004005400050006	45456	采油平台	
0004005400050009	45459	其他海洋内水调查和开发船	
000400540006	4546	工程工作船	
0004005400060001	45461	电气作业和海底工程作业船	
0004005400060002	45462	挖泥打桩船（驳）	
0004005400060003	45463	起重船和囤船	
0004005400060004	45464	水面工作船	
0004005400060005	45465	特种用业船	
0004005400060006	45466	机动船	
0004005400060007	45467	浮船坞码头和维修工作船	
0004005400060009	45469	其他工程工作船	
000400540007	4547	非钢质船	
0004005400070001	45471	木船	
0004005400070002	45472	水泥船	
0004005400070003	45473	玻璃钢船	
0004005400070004	45474	橡皮船	
0004005400070009	45479	其他非钢质船	
000400540008	4548	船舶制造专用设备	
0004005400080001	45481	放样号料设备	
0004005400080002	45482	钢材预处理流水线	
0004005400080003	45483	管子加工流水线	
0004005400080004	45484	平面分段流水线	
0004005400080005	45485	联动生产流水线	
0004005400080006	45486	船台小车	
0004005400080007	45487	船舶试验设备	
000400540009	4549	其他水上交通运输设备	
0004005400090001	45491	潜水设备	
0004005400090002	45492	浮标	
0004005400090003	45493	航标灯闪光器	
0004005400090004	45494	浮标锚链	
00040055	455	飞机及其配套设备	
000400550001	4551	民用飞机	
0004005500010001	45511	运输机	
0004005500010002	45512	通用航空飞机	
0004005500010003	45513	直升机	
0004005500010004	45514	初级类飞机	
0004005500010009	45519	其他民用飞机	
000400550002	4552	飞机维修设备	
0004005500020001	45521	内场维修设备	
0004005500020002	45522	航线维修设备	
0004005500020009	45529	其他飞机维修设备	
0004005500030000	45530	航空港专用设备	
000400550004	4554	机场地面特种车辆	
0004005500040001	45541	机务特种车辆	
0004005500040002	45542	机场特种车辆	
0004005500040003	45543	商务运输车辆	
0004005500040004	45544	飞行维修车辆	
0004005500040005	45545	航行特种车辆	
0004005500040006	45546	油料车辆	
0004005500040009	45549	其他机场地面特种车辆	
0004005500050000	45550	火箭及发射维护设施	
0004005500060000	45560	人造卫星	
000400550007	4557	飞行器	
0004005500070001	45571	飞艇	
0004005500070002	45572	气球	
0004005500070003	45573	滑翔伞	
000400550008	4558	专用飞行机	
0004005500080001	45581	警用航空器	
0004005500090000	45590	其他飞机及其配套设备	
00040056	456	工矿车辆	
000400560001	4561	运矿车	
0004005600010001	45611	侧卸式矿车	
0004005600010002	45612	底卸式矿车	
0004005600010003	45613	固定工矿车	
0004005600010004	45614	U型矿车	
0004005600010005	45615	V型矿车	
0004005600010006	45616	斗车	
0004005600010007	45617	漏矿车	
0004005600010008	45618	卸料车	
0004005600010009	45619	其他运矿车	
000400560002	4562	冶金专用车辆	
0004005600020001	45621	铁水车	
0004005600020002	45622	铸锭车	
0004005600020003	45623	料槽车	
0004005600020004	45624	烧结车	
0004005600020005	45625	渣罐车	
0004005600020006	45626	保温车	
0004005600020007	45627	混铁车	
0004005600020008	45628	矿渣车	
0004005600020009	45629	其他冶金专用车辆	
0004005600040000	45640	核工业专用车辆	
000400560005	4565	电动作业车辆	
0004005600050001	45651	蓄电池搬运车	
0004005600050002	45652	电动托盘搬运车	
0004005600050003	45653	电动起升车	
0004005600050004	45654	电动平车	
0004005600050009	45659	其他电动作业车辆	
0004005600090000	45690	其他工矿车辆	
00020060	260	电机	
000200600001	2601	发电机	
0002006000010001	26011	一般交流发电机	
0002006000010002	26012	汽油发电机组	
0002006000010003	26013	柴油发电机组	
0002006000010004	26014	移动式发电机组	
0002006000010005	26015	地热和潮汐发电机组	
0002006000010006	26016	励磁机和永磁机	
0002006000010008	26018	发电机附属设备	
0002006000010009	26019	其他发电机	
000200600002	2602	直流电机	
0002006000020001	26021	直流发电机	
0002006000020002	26022	直流电动机	
0002006000020003	26023	直流发电机组	
0002006000020009	26029	其他直流电机	
000200600003	2603	交流电动机	
0002006000030001	26031	同步电动机	
0002006000030002	26032	一般用途异步电动机	
0002006000030003	26033	专用电动机	
0002006000030004	26034	特殊电动机	
0002006000030009	26039	其他交流电动机	
000200600004	2604	微电机	
0002006000040001	26041	控制微电机	
0002006000040002	26042	驱动微电机（分马力机）	
0002006000040003	26043	旋转变压器和电感调压器	
0002006000040004	26044	测速发电机	
0002006000040005	26045	电源用微电机	
0002006000040006	26046	电源同步电机	
0002006000040007	26047	微型直流电机	
0002006000040009	26049	其他微电机	
0002006000090000	26090	其他电机	
00020061	261	变压器整流器电抗器和电容器	
000200610001	2611	变压器	
0002006100010001	26111	电力变压器	
0002006100010002	26112	调压变压器	
0002006100010003	26113	专用变压器	
0002006100010004	26114	整流变压器	
0002006100010005	26115	试验变压器	
0002006100010006	26116	移动变压器和起动变压器	
0002006100010007	26117	可逆变压器	
0002006100010009	26119	其他变压器	
000200610002	2612	电抗器	
0002006100020001	26121	水泥电抗器	
0002006100020002	26122	限流电抗器	
0002006100020003	26123	饱和电抗器	
0002006100020004	26124	可变气隙电抗器	
0002006100020005	26125	模拟电抗器	
0002006100020006	26126	保护电抗器	
0002006100020007	26127	起动电抗器	
0002006100020008	26128	试验电抗器	
0002006100020009	26129	其他电抗器	
000200610003	2613	互感器和避雷器	
0002006100030001	26131	电压互感器	
0002006100030002	26132	电流互感器	
0002006100030003	26133	电流电压组合互感器	
0002006100030004	26134	仪用互感器	
0002006100030005	26135	线圈和扼流圈	
0002006100030006	26136	避雷器	
0002006100030009	26139	其他互感器和避雷器	
000200610004	2614	整流器和电源设备	
0002006100040001	26141	整流器	
0002006100040002	26142	电源设备	
000200610005	2615	电容器	
0002006100050001	26151	电力电容器	
0002006100050002	26152	电子用电容器	
0002006100050009	26159	其他电容器	
00020062	262	生产辅助用电器	
000200620001	2621	电阻器和变阻器	
0002006200010001	26211	电阻器	
0002006200010002	26212	变阻器	
000200620002	2622	开关电器和断路器	
0002006200020001	26221	开关电器设备	
0002006200020002	26222	断路器	
000200620003	2623	控制器	
0002006200030001	26231	凸轮控制器	
0002006200030002	26232	鼓型控制器	
0002006200030003	26233	平面控制器	
0002006200030004	26234	主令控制器	
0002006200030005	26235	气动控制器	
0002006200030006	26236	液压控制器	
0002006200030007	26237	自动控制器	
0002006200030009	26239	其他控制器	
000200620004	2624	接触器	
0002006200040001	26241	直流接触器	
0002006200040002	26242	交流接触器	
0002006200040003	26243	中频接触器	
0002006200040004	26244	时间接触器	
0002006200040005	26245	电磁接触器	
0002006200040006	26246	真空接触器	
0002006200040007	26247	组合接触器	
0002006200040009	26249	其他接触器	
000200620005	2625	起动器	
0002006200050001	26251	液压起动器	
0002006200050002	26252	磁力起动器	
0002006200050003	26253	综合起动器	
0002006200050004	26254	热敏电阻起动器	
0002006200050005	26255	蒸发式起动器	
0002006200050006	26256	自动三星起动器	
0002006200050009	26259	其他起动器	
000200620007	2627	继电器	
0002006200070001	26271	电继电路	
0002006200070002	26272	控制继电器	
0002006200070003	26273	保护继电器	
0002006200070009	26279	其他继电器	
000200620008	2628	成套电器	
0002006200080001	26281	开关柜	
0002006200080002	26282	控制设备	
0002006200080003	26283	配电屏配电箱和端子箱	
0002006200080004	26284	保护屏同期屏和故障录波屏	
0002006200080005	26285	电容器柜电容器箱	
0002006200080006	26286	受电箱受电屏	
0002006200080009	26289	其他成套电器	
000200620009	2629	其他生产辅助用电器	
00020063	263	生活用电器和照明设备	
000200630001	2631	制冷电器	
0002006300010001	26311	家用电冰箱	
0002006300010002	26312	电用冷藏冷冰箱	
0002006300010009	26319	其他制冷电器	
000200630002	2632	空气调节电器	
0002006300020001	26321	风扇风机和通风或空气循环对流机	
0002006300020002	26322	空调器	
0002006300020004	26324	房间取暖器	
0002006300020005	26325	调温调湿机	
0002006300020006	26326	空气净化设备	
0002006300020007	26327	电子除垢仪	
0002006300020009	26329	其他空气调节取暖电器	
000200630003	2633	清洁卫生器具和熨烫器具	
0002006300030001	26331	家用洗衣机	
0002006300030002	26332	商业和工业用洗衣机	
0002006300030003	26333	脱水机和干衣机	
0002006300030004	26334	电熨斗和熨衣机	
0002006300030005	26335	吸尘器	
0002006300030006	26336	电热淋浴器	
0002006300030009	26339	其他清洁卫生和熨烫器具	
000200630004	2634	烹调器具	
0002006300040001	26341	电热蒸煮器具	
0002006300040002	26342	电热烘烤器具	
0002006300040003	26343	电热水和饮料加热器具	
0002006300040004	26344	电热煎炒器具	
0002006300040005	26345	民用电灶	
0002006300040009	26349	其他烹调器具	
000200630005	2635	美容电器	
0002006300050001	26351	电推剪	
0002006300050002	26352	电吹风器	
0002006300050003	26353	电烘发器	
0002006300050004	26354	电卷发器	
0002006300050005	26355	电动剃须刀	
0002006300050006	26356	电热梳	
0002006300050009	26359	其他美容电器	
000200630007	2637	照明电器	
0002006300070001	26371	矿灯	
0002006300070002	26372	车船用灯	
0002006300070003	26373	室内照有灯具	
0002006300070004	26374	场地用灯	
0002006300070005	26375	舞台灯具	
0002006300070006	26376	除害虫用灯	
0002006300070009	26379	其他照明电器	
00020064	264	电气机械设备	
000200640001	2641	工业电热设备	
0002006400010001	26411	电阻炉	
0002006400010002	26412	感应电炉	
0002006400010003	26413	电弧炉	
0002006400010004	26414	真空电炉	
0002006400010005	26415	精炼炉	
0002006400010006	26416	特种电炉	
0002006400010007	26417	电炉辅助设备	
0002006400010008	26418	其他电炉	
0002006400010009	26419	电气物理设备	
0002006400030001	26431	电子迥旋加速器	
0002006400030002	26432	电子直线加速器	
0002006400030003	26433	电子感应加速器	
0002006400030004	26434	高压加速器	
0002006400030005	26435	中子发生器	
0002006400030006	26436	离子束加工设备	
0002006400030007	26437	电子束加工设备	
0002006400030008	26438	充磁与脱磁设备	
0002006400030009	26439	其他电气物理设备	
000200640004	2644	电动工具	
0002006400040001	26441	电钻	
0002006400040002	26442	电动凿岩机	
0002006400040003	26443	电镉	
0002006400040004	26444	手提电砂轮和磨光机	
0002006400040005	26445	手动电锤和电剪刀	
0002006400040006	26446	电螺丝刀和电扳手	
0002006400040007	26447	手提电动攻丝机	
0002006400040009	26449	其他电动工具	
000200640005	2645	换能器	
0002006400050001	26451	热离子换能器	
0002006400050002	26452	热电子换能器	
0002006400050003	26453	核能换能器	
0002006400050009	26459	其他换能器	
00020065	265	电工电子专用生产设备	
000200650001	2651	电工专用生产设备	
0002006500010001	26511	电机生产设备	
0002006500010002	26512	低压电器专用生产设备	
0002006500010003	26513	电线电缆电用制造设备	
0002006500010004	26514	绝缘材料生产专用设备	
0002006500010009	26519	其他电工专用生产设备	
000200650002	2652	电池生产专用设备	
0002006500020001	26521	铅酸蓄电池生产设备	
0002006500020002	26522	电池制作工艺设备	
0002006500020009	26529	其他电池专用生产设备	
000200650003	2653	电子工业专用生产设备	
0002006500030001	26531	半导体专用设备	
0002006500030002	26532	电真空器件生产设备	
0002006500030003	26533	电子元件制造设备	
0002006500030004	26534	环境例行试验设备	
0002006500030005	26535	激光印刷线路计算机生产设备	
0002006500030006	26536	生产线及装配线	
0002006500030007	26537	磁盘打印机生产专用设备	
000200650004	2654	家用电器专用生产设备	
0002006500040001	26541	洗衣机生产专用设备	
0002006500040002	26542	电冰箱专用生产设备	
0002006500040003	26543	家用空调器专用生产设备	
0002006500040004	26544	家用电扇专用生产设备	
0002006500040005	26545	家用清洁卫生器具专用生产设备	
0002006500040006	26546	家用厨房电器具专用生产设备	
0002006500040009	26549	其他家用电器专用生产设备	
0002006500090000	26590	其他电工电子专用生产设备	
0005	5	电子产品及通信设备	
00050068	568	雷达和无线电导航设备	
000500680001	5681	雷达	
0005006800010001	56811	地面雷达	
0005006800010002	56812	机载雷达	
0005006800010003	56813	舰船载雷达	
0005006800010004	56814	雷达配套设备	
0005006800010005	56815	星载雷达	
0005006800010006	56816	气球载雷达	
0005006800010009	56819	其他雷达	
000500680003	5683	航空无线电导航设备	
0005006800030001	56831	机载无线电导航设备	
0005006800030002	56832	地面航空无线电导航设备	
000500680004	5684	舰船无线电导航设备	
0005006800040001	56841	舰船载无线电导航设备	
0005006800040002	56842	地面舰船无线电导航设备	
0005006800040009	56849	其他舰船无线电导航设备	
0005006800050000	56850	卫星导航GPS设备	
0005006800050001	56851	车载GPS	
0005006800050002	56852	手持GPS	
0005006800060000	56860	卫星遥感设备	
0005006800090000	56890	其他雷达和无线电导航设备	
00050069	569	通信设备	
000500690001	5691	无线电通信设备	
0005006900010001	56911	通用无线电通信设备	
0005006900010002	56912	移动通信（网）设备	
0005006900010003	56913	航空无线电通信设备	
0005006900010004	56914	舰船无线电通信设备	
0005006900010005	56915	铁道无线电通信设备	
0005006900010006	56916	邮电无线电通信专用设备	
0005006900010007	56917	气象通信专用无线电通信设备	
0005006900010009	56919	其他无线电通信设备	
000500690002	5692	接力通信系统设备	
0005006900020001	56921	超短波接力通信设备	
0005006900020002	56922	模拟微波接力通信设备	
0005006900020003	56923	数字微波接力通信设备	
0005006900020004	56924	电视微波接力设备	
0005006900020009	56929	其他接力通信系统设备	
000500690003	5693	散射通信卫星通信及光通信	
0005006900030001	56931	散射通信设备	
0005006900030002	56932	卫星通信设备	
0005006900030003	56933	光通信设备	
000500690004	5694	载波通信系统设备	
0005006900040001	56941	电缆载波通信设备	
0005006900040002	56942	电力线载波通信设备	
0005006900040003	56943	矿用及矿山采选用载波通信设备	
0005006900040004	56944	微波通信用载波通信设备	
0005006900040005	56945	载波电报机及载波业务通信设备	
0005006900040009	56949	其他载波通信系统设备	
000500690005	5695	电话通信设备	
0005006900050001	56951	电话机	
0005006900050002	56952	电话交换设备	
0005006900050003	56953	会议电话调度设备及市话中继设备	
000500690006	5696	电报通信设备	
0005006900060001	56961	收发报机	
0005006900060002	56962	电传打字机	
0005006900060003	56963	凿孔设备	
0005006900060004	56964	译码设备	
0005006900060005	56965	人工用户电报交换设备	
0005006900060006	56966	用户电报自动交换设备	
0005006900060009	56969	其他电报通信设备	
000500690007	5697	传真及数据数字通信设备	
0005006900070001	56971	传真通信设备	
0005006900070002	56972	数据调制解调设备	
0005006900070003	56973	数传机	
0005006900070004	56974	数据复接交换设备	
0005006900070005	56975	脉码调制终端设备	
0005006900070006	56976	增量调制终端设备	
0005006900070007	56977	数字电话电报终端机	
0005006900070009	56979	其他传真及数据数字通信设备	
0005006900080000	56980	通讯线路设备	
000500690009	5699	其他通讯设备	
0005006900090001	56991	通信机房专用设备	
00050070	570	广播电视设备	
000500700001	5701	广播电视发射设备	
0005007000010001	57011	广播发射设备	
0005007000010002	57012	电视发射设备	
000500700002	5702	音频节目制作和播控设备	
0005007000020001	57021	广播专用录放音设备	
0005007000020002	57022	调音台	
0005007000020003	57023	监听机（机组）	
0005007000020004	57024	声处理设备	
0005007000020005	57025	收音设备	
0005007000020006	57026	播控设备	
0005007000020009	57029	其他音频节目制作和播控设备	
000500700003	5703	视频节目制作和播控设备	
0005007000030001	57031	电视录制及电视播出中心设备	
0005007000030002	57032	机动电视转播及电视播出采访设备	
0005007000030003	57033	录像机	
0005007000030004	57034	录像编辑设备	
0005007000030005	57035	专业摄像机和信号源设备	
0005007000030006	57036	视频信息处理设备	
0005007000030007	57037	电视信号同步设备	
0005007000030009	57039	其他视频节目制作和播控设备	
000500700004	5704	多工广播立体电视及卫星广播电视设备	
0005007000040001	57041	多工广播设备	
0005007000040002	57042	立体电视设备	
0005007000040003	57043	卫星广播电视设备	
000500700005	5705	电缆电视分配系统设备	
0005007000050001	57051	共用天线电视系统设备	
0005007000050002	57052	单向电缆电视系统设备	
0005007000050003	57053	双向电缆电视系统设备	
0005007000050004	57054	光缆电视分配系统设备	
0005007000050009	57059	其他电缆电视分配系统设备	
000500700006	5706	应用电视设备	
0005007000060001	57061	通用应用电视设备	
0005007000060002	57062	特殊环境应用电视监视设备	
0005007000060003	57063	特殊功能应用电视设备	
0005007000060004	57064	特种成像应用电视设备	
0005007000060009	57069	其他应用电视设备	
000500700007	5707	视频产品	
0005007000070001	57071	电视机	
0005007000070002	57072	投影电视机	
0005007000070003	57073	普及型录像机	
0005007000070004	57074	摄像机	
0005007000070005	57075	摄录一体机	
0005007000070006	57076	监控设备	
0005007000070007	57077	平板显示设备	
0005007000070008	57078	电视唱盘	
0005007000070009	57079	其他视频产品	
000500700008	5708	音响设备	
0005007000080001	57081	录放音机	
0005007000080002	57082	半导体收音机	
0005007000080003	57083	电子管收音机	
0005007000080004	57084	音频功率放大器设备	
0005007000080005	57085	电唱机	
0005007000080006	57086	音响电视组合机	
0005007000080007	57087	话筒设备	
0005007000080008	57088	功放设备	
0005007000080009	57089	其他音响设备	
0005007000090000	57090	其他广播电视设备	
00050071	571	电子计算机及其外围设备	
000500710001	5711	电子计算机	
0005007100010001	57111	数字电子计算机	
0005007100010002	57112	模拟计算机	
0005007100010003	57113	数字模拟混合计算机	
0005007100010004	57114	工业控制计算机	
0005007100010005	57115	电子计算器	
0005007100010006	57116	网络硬件设备	
0005007100010007	57117	终端硬件设备	
000500710002	5712	计算机外存储设备	
0005007100020001	57121	磁盘机	
0005007100020002	57122	磁带机	
0005007100020003	57123	移动硬盘	
0005007100020004	57124	闪存	
0005007100020005	57125	刻录机	
0005007100020009	57129	其他计算机外存储设备	
000500710003	5713	电子计算机显示终端设备	
0005007100030001	57131	光笔图形显示器	
0005007100030002	57132	字符图形显示器	
0005007100030003	57133	汉字显示终端	
0005007100030009	57139	其他电子计算机显示终端设备	
000500710004	5714	电子计算机输入输出设备	
0005007100040001	57141	打印设备	
0005007100040002	57142	电子计算机绘图设备	
0005007100040003	57143	电子计算机光电设备	
0005007100040004	57144	纸带穿孔输出设备	
0005007100040005	57145	卡片输入输出设备	
0005007100040006	57146	扫描仪	
0005007100040009	57149	其他电子计算机输入输出设备	
000500710005	5715	计算机软件	
0005007100050001	57151	系统软件	
0005007100050002	57152	数据库软件	
0005007100050003	57153	支撑软件	
0005007100050005	57155	应用软件	
0005007100050007	57157	管理软件	
0005007100050008	57158	测试软件	
0005007100050009	57159	其他计算机软件	
0005007100060000	57160	电子计算机配套设备	
0005007100060001	57161	计算机安全设备	
0005007100070000	57170	电子计算机电源设备	
0005007100070001	57171	机房专用UPS电源	
0005007100070009	57179	其他电源设备	
000500710008	5718	多媒体系统	
0005007100090000	57190	其他电子计算机及其外围设备	
0003	3	仪器仪表	
00030074	374	仪器仪表	
000300740001	3741	自动化仪表	
0003007400010001	37411	温度压力流量仪表	
0003007400010002	37412	物位及机械量仪表	
0003007400010003	37413	显示及调节仪表	
0003007400010004	37414	气动电动单元组合仪表	
0003007400010005	37415	绘图仪	
0003007400010006	37416	集中控制装置	
0003007400010007	37417	执行器	
0003007400010008	37418	自动成套控制系统	
0003007400010009	37419	其他自动化仪表	
000300740002	3742	电工仪器仪表	
0003007400020001	37421	电度表	
0003007400020002	37422	实验室电工仪器及指针式电表	
0003007400020003	37423	数字电网监测表	
0003007400020004	37424	电阻测量仪器	
0003007400020005	37425	记录电表电磁示波器	
0003007400020006	37426	测磁仪器和扩大量程装置	
0003007400020009	37429	其他电工仪器仪表	
000300740003	3743	光学仪器	
0003007400030001	37431	显微镜	
0003007400030002	37432	大地测量仪器	
0003007400030003	37433	光学计量仪器	
0003007400030004	37434	物理光学仪器	
0003007400030005	37435	光学测试仪器	
0003007400030006	37436	电子光学及离子光学仪器	
0003007400030007	37437	航测仪器及光谱遥感仪器	
0003007400030008	37438	红外仪器	
0003007400030009	37439	激光仪器	
000300740004	3744	分析仪器	
0003007400040001	37441	电化学分析仪器	
0003007400040002	37442	物理特性分析仪器及校准仪器	
0003007400040003	37443	热学式分析仪器	
0003007400040004	37444	光学式分析仪器	
0003007400040005	37445	射线式分析仪器	
0003007400040006	37446	波谱质谱色谱仪	
0003007400040007	37447	环境监测专用仪器及综合分析装置	
0003007400040009	37449	其他分析仪器	
000300740005	3745	试验机	
0003007400050001	37451	金属材料试验机	
0003007400050002	37452	非金属材料试验机	
0003007400050003	37453	工艺试验机	
0003007400050004	37454	测力仪器	
0003007400050005	37455	动平衡机	
0003007400050006	37456	振动台与冲击台	
0003007400050007	37457	无损探伤机	
0003007400050009	37459	其他试验机	
000300740006	3746	实验仪器及装置	
0003007400060001	37461	分析天平及专用天平	
0003007400060002	37462	动力测试仪器	
0003007400060003	37463	试验箱及气候环境试验设备	
0003007400060004	37464	生物医学样品制备设备	
0003007400060005	37465	应变及振动测试仪器	
0003007400060006	37466	型砂铸造试验仪器及装置	
0003007400060007	37467	真空检测仪器	
0003007400060008	37468	土工测试仪器	
0003007400060009	37469	其他实验仪器及装置	
000300740007	3747	量仪	
0003007400070001	37471	齿轮量仪	
0003007400070002	37472	螺纹量仪	
0003007400070003	37473	形位误差检查仪	
0003007400070004	37474	角度量仪	
000300740008	3748	钟表及定时仪器	
0003007400080001	37481	钟	
0003007400080002	37482	表	
0003007400080003	37483	定时器	
0003007400080009	37489	其他钟表及定时仪器	
0003007400090000	37490	其他仪器仪表	
00030075	375	电子和通信测量仪器	
000300750001	3751	电子和通信测量发生器	
0003007500010001	37511	电子信号发生器	
0003007500010009	37519	其他电子和通信测量发生器	
000300750002	3752	数字模拟仪表及功率计	
0003007500020001	37521	数字仪表及装置	
0003007500020002	37522	模拟式电压表	
0003007500020003	37523	功率计	
000300750003	3753	元件器件参数测量仪	
0003007500030001	37531	电阻器电容器参数测量仪	
0003007500030002	37532	敏感元件磁性材料电感元件测量仪	
0003007500030003	37533	电子元件参数测量仪	
0003007500030004	37534	半导体器件参数测量仪	
0003007500030005	37535	集成电路参数测量仪	
0003007500030009	37539	其他电子元件器件参数测量仪	
000300750004	3754	时间频率和网络特性测量仪器	
0003007500040001	37541	时间及频率测量仪器	
0003007500040002	37542	网络特性测量仪	
000300750005	3755	衰减器滤波器和放大器	
0003007500050001	37551	衰减及滤波器	
0003007500050002	37552	放大器	
000300750006	3756	场强干扰波形参数测量及电子示波器	
0003007500060001	37561	场强干扰测量仪器及测量接收机	
0003007500060002	37562	波形参数测量仪器	
0003007500060003	37563	电子示波器	
000300750007	3757	通讯导航有线电及电视用测量仪器	
0003007500070001	37571	通讯导航测试仪器	
0003007500070002	37572	有线电测量仪	
0003007500070003	37573	电视用测量仪	
000300750008	3758	电子和通信声源声级声振测量分析仪器	
0003007500080001	37581	声源声振信号发生器	
0003007500080002	37582	声级计	
0003007500080003	37583	电声滤波器	
0003007500080004	37584	电声放大器	
0003007500080005	37585	声振测量仪	
0003007500080006	37586	声振仪器校准装置	
0003007500080007	37587	电话电声测试仪器	
0003007500080009	37589	声振分析仪	
000300750009	3759	数据仪器及计算机用测量仪器	
0003007500090001	37591	数据仪器	
0003007500090002	37592	计算机用测量仪器	
0003007500090009	37599	其他数据仪器和计算机用测量仪器	
00030076	376	专用仪器仪表	
000300760001	3761	农林牧渔及地质勘探钻采专用设备	
0003007600010001	37611	农林牧渔专用仪器	
0003007600010002	37612	地质勘探钻采及地震仪器	
000300760002	3762	安全大坝观测电站热工电力数字仪器	
0003007600020001	37621	安全用仪器	
0003007600020004	37624	大坝观测仪器	
0003007600020005	37625	电站热工仪表	
0003007600020006	37626	电力数字仪表	
000300760003	3763	气象海洋水文天文仪器	
0003007600030001	37631	气象仪器	
0003007600030002	37632	海洋仪器	
0003007600030003	37633	水文仪器	
0003007600030004	37634	天文仪器	
000300760004	3764	教学专用核子及核辐射测量仪器	
0003007600040001	37641	教学专用仪器	
0003007600040002	37642	核子及核辐射测量仪器	
000300760005	3765	航天航空航海用仪器仪表	
0003007600050001	37651	航空仪器	
0003007600050002	37652	航天仪器	
0003007600050003	37653	船舶专用仪器	
000300760006	3766	纺织建筑工程等专用仪器仪表	
0003007600060001	37661	纺织专用仪器	
0003007600060002	37662	建筑工程仪器	
0003007600060004	37664	汽车拖拉机仪表	
0003007600060005	37665	动力测量仪器	
000300760007	3767	心理生理仪器	
0003007600070001	37671	心理仪器	
0003007600070002	37672	生理仪器	
